feature,score,score_std,input_value,intercept,policy_type,feature_type
MaritalStatus,-0.10464353254942815,0.03753269422010995,Single,-1.1953441249017134,All Perils,category
MaritalStatus,-2.2864881958236634,1.0166426023208963,Widow,-1.1953441249017134,All Perils,category
AgeOfPolicyHolder,0.5559269395019525,0.15216565309910612,16 to 17,-1.1953441249017134,All Perils,category
AgeOfPolicyHolder,-0.19856924943291737,0.7359525719002369,21 to 25,-1.1953441249017134,All Perils,category
AgeOfPolicyHolder,0.42853127281783276,0.4084064969291949,26 to 30,-1.1953441249017134,All Perils,category
AgeOfPolicyHolder,0.0707036953643619,0.024306780005550303,31 to 35,-1.1953441249017134,All Perils,category
AgeOfPolicyHolder,-0.03343122159117094,0.050010870782387334,36 to 40,-1.1953441249017134,All Perils,category
AgeOfPolicyHolder,-0.12583727380017948,0.05351299211132082,41 to 50,-1.1953441249017134,All Perils,category
AgeOfPolicyHolder,-0.11494175219719545,0.04664664861265732,51 to 65,-1.1953441249017134,All Perils,category
AgeOfPolicyHolder,-0.1157496725151393,0.047956601776626785,over 65,-1.1953441249017134,All Perils,category
NumberOfCars,0.03340784414622848,0.006477271389264897,1 vehicle,-1.1953441249017134,All Perils,category
NumberOfCars,-0.38445759057177975,0.17512106390041574,2 vehicles,-1.1953441249017134,All Perils,category
NumberOfCars,-0.7607387256898992,0.1181411763493146,3 to 4,-1.1953441249017134,All Perils,category
NumberOfCars,-2.406754145454884,0.8933966144572851,5 to 8,-1.1953441249017134,All Perils,category
NumberOfCars,-2.5729697190642207,1.0080273962078803,more than 8,-1.1953441249017134,All Perils,category
PastNumberOfClaims,0.0724299314020294,0.015616186367758347,1,-1.1953441249017134,All Perils,category
PastNumberOfClaims,-0.005633787551947923,0.024838925760954235,2 to 4,-1.1953441249017134,All Perils,category
PastNumberOfClaims,-0.5641056784774332,0.08977091234968522,more than 4,-1.1953441249017134,All Perils,category
PastNumberOfClaims,0.020337889621575705,0.016267338131662677,none,-1.1953441249017134,All Perils,category
PolicyType,0.0023727799739475582,0.002109796111879393,Sedan - All Perils,-1.1953441249017134,All Perils,category
PolicyType,-1.968999238544236,0.6050509892127278,Sport - All Perils,-1.1953441249017134,All Perils,category
PolicyType,0.07168272222428301,0.02369170055042928,Utility - All Perils,-1.1953441249017134,All Perils,category
AgentType,0.0,0.0,External,-1.1953441249017134,All Perils,category
NumberOfSuppliments,0.15040017672215583,0.044277287023102734,1 to 2,-1.1953441249017134,All Perils,category
NumberOfSuppliments,-0.7197066839206622,0.059183068201843395,3 to 5,-1.1953441249017134,All Perils,category
NumberOfSuppliments,-0.1393241871580019,0.020611432731642225,more than 5,-1.1953441249017134,All Perils,category
NumberOfSuppliments,0.18208232119582585,0.012594166964400896,none,-1.1953441249017134,All Perils,category
Days_Policy_Accident,-0.19904942542804224,0.29566888134493347,1 to 7,-1.1953441249017134,All Perils,category
Days_Policy_Accident,0.24224570535236523,0.35715070054197745,15 to 30,-1.1953441249017134,All Perils,category
Days_Policy_Accident,-0.22074568220723573,0.2424268515506028,8 to 15,-1.1953441249017134,All Perils,category
Days_Policy_Accident,0.0006641452590804781,0.0013257093106836299,more than 30,-1.1953441249017134,All Perils,category
Days_Policy_Accident,-0.12892614400430474,0.11875096316249925,none,-1.1953441249017134,All Perils,category
Days_Policy_Claim,-0.39749191930536043,0.09155271854897215,15 to 30,-1.1953441249017134,All Perils,category
Days_Policy_Claim,0.007597879901717223,0.5745981163279776,8 to 15,-1.1953441249017134,All Perils,category
Days_Policy_Claim,0.0017210406461935315,0.0003161890659909724,more than 30,-1.1953441249017134,All Perils,category
PoliceReportFiled,0.05186488722146646,0.004960778266598278,No,-1.1953441249017134,All Perils,category
PoliceReportFiled,-2.0026387984793264,0.1915486094652273,Yes,-1.1953441249017134,All Perils,category
